"Leave Code","Dependent standard",Relation,Event,"Max Leave allowed","Custom defined dates",Name,Date
OH_BGR_25,No,,,,Yes,"Karthika Purnima/Guru  Nanak's Jayanthi ",2025-11-05
OL_HYD_25,No,,,,Yes,"Maha Shivratri",2025-02-26
OL_HYD_25,No,,,,Yes,"Good Friday",2025-04-18
OL_HYD_25,No,,,,Yes,"Ayudha Puja",2025-10-01
OL_HYD_25,No,,,,Yes,"Lakshmi Pujan ",2025-10-21
OL_HYD_25,No,,,,Yes,"Bhai Dhooj",2025-10-23
OL_HYD_25,No,,,,Yes,"Chhath Puja",2025-10-27
OL_HYD_25,No,,,,Yes,"Karthika Purnima/Guru  Nanak's Jayanthi",2025-11-05
"OH _LABCORP_25",No,,,,Yes,"New Years Eve",2025-01-01
"OH _LABCORP_25",No,,,,Yes,Sankranthi/Pongal,2025-01-14
"OH _LABCORP_25",No,,,,Yes,"Chhatrapati Shivaji Maharaj Jayanti",2025-02-19
"OH _LABCORP_25",No,,,,Yes,"Maha Shivaratri",2025-02-26
"OH _LABCORP_25",No,,,,Yes,"Holika Dahan",2025-03-13
"OH _LABCORP_25",No,,,,Yes,Ramzan/Id-ul-fitr,2025-03-31
"OH _LABCORP_25",No,,,,Yes,"Mahveer Jayanti",2025-04-10
"OH _LABCORP_25",No,,,,Yes,"Vishu/Dr.Ambedkar Jayanti",2025-04-14
"OH _LABCORP_25",No,,,,Yes,"Vaisakhadi/Bhaga Bihu",2025-04-15
"OH _LABCORP_25",No,,,,Yes,"Good Friday",2025-04-18
"OH _LABCORP_25",No,,,,Yes,"Basav Jayanti/ Akshaya  Tritya",2025-04-30
"OH _LABCORP_25",No,,,,Yes,"Guru Rabindranath's Birthday",2025-05-09
"OH _LABCORP_25",No,,,,Yes,"Buddha Poornima",2025-05-12
"OH _LABCORP_25",No,,,,Yes,Bakrid,2025-06-06
"OH _LABCORP_25",No,,,,Yes,"Rath Yatra",2025-06-27
"OH _LABCORP_25",No,,,,Yes,"Vara Mahalakshmi  Vrata/ Raksha Bandhan",2025-08-08
"OH _LABCORP_25",No,,,,Yes,"Ganesh Chaturthi",2025-08-27
"OH _LABCORP_25",No,,,,Yes,"Id Milad/Onam",2025-09-05
"OH _LABCORP_25",No,,,,Yes,Mahanavami/Dussera,2025-10-01
"OH _LABCORP_25",No,,,,Yes,"Valmiki Jayanti",2025-10-07
"OH _LABCORP_25",No,,,,Yes,"Karwa Chauth",2025-10-10
"OH _LABCORP_25",No,,,,Yes,"Naraka Chaturdashi",2025-10-20
"OH _LABCORP_25",No,,,,Yes,"Diwali Amavsya/Laxmi Pujan",2025-10-21
"OH _LABCORP_25",No,,,,Yes,Balipadyami/Deepavali/Diwali,2025-10-22
"OH _LABCORP_25",No,,,,Yes,"Guru Nanak Jayanti",2025-11-05
"OH _LABCORP_25",No,,,,Yes,Holi,2025-03-14
"OH _LABCORP_25",No,,,,Yes,Christmas,2025-12-25
OH_MUM_26,No,,,,Yes,"Makar Sankrathi",2026-01-14
OH_MUM_26,No,,,,Yes,"Ram Navami",2026-03-27
OH_MUM_26,No,,,,Yes,"Good Friday",2026-04-03
OH_MUM_26,No,,,,Yes,"Raksha Bandhan",2026-08-28
OH_MUM_26,No,,,,Yes,"krishna Ashtami",2026-09-04
OH_MUM_26,No,,,,Yes,"Ayudha Pooja",2026-10-20
